"the_geom","segmentid","bikeid","prevbikeid","status","boro","street","fromstreet","tostreet","onoffst","facilitycl","allclasses","bikedir","lanecount","ft_facilit","tf_facilit","ft2facilit","tf2facilit","instdate","ret_date","grnwy","gwsystem","gwsys2","spur","gwyjuris"
"MULTILINESTRING ((-74.192429667502 40.521741493622734, -74.1951900846669 40.519998791664904))","2579.0","6562.0","NA","Current","5","HYLAN BLVD","HOLTEN AV","LUTEN AV","ON","II","II","2","2","Curbside Buffered","Curbside Buffered",,,"2007-10-01T00:00:00.000",,"Greenway","Staten Island Waterfront",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-74.16031384424598 40.589027527481505, -74.16126386213497 40.58807622459019))","5033.0","4272.0",,"Current","5","MERRYMOUNT ST","RICHMOND HILL RD","ROCKLAND AV","ON","II","II","2","2","Conventional Buffered","Conventional Buffered",,,"2021-08-12T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.12631986979562 40.635252327237055, -74.12595665955017 40.63385870272121))","10186.0","2107.0","NA","Current","5","CLOVE ROAD","RICHMOND TERR","FOREST AVE","ON","III","III","2","2","Shared","Shared",,,"2015-09-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.00973537112554 40.64566683581713, -74.01031893929684 40.645106662743515))","20716.0","942.0","NA","Current","3","5 AV","23 ST","50 ST","ON","III","III","2","2","Shared","Shared",,,"2013-07-02T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.02089492413252 40.62654299227484, -74.02098508259608 40.626323879369245))","126857.0","951.0","NA","Current","3","6 AVENUE","67 ST","FT HAMILTON PKWY","ON","III","III","2","2","Shared","Shared",,,"2015-06-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.82393140603143 40.617240411111595, -73.8238304161413 40.61710686648486, -73.82365215910158 40.61692686777038, -73.82357130837005 40.616842497121716, -73.8232792516581 40.61649663865359, -73.82252246340727 40.61561088569937, -73.82252062110807 40.615610882854945))","235096.0","1821.0","NA","Current","4","CROSS BAY BLVD GREENWAY","CHANNEL BR","CROSS BAY BLVD","OFF","I","I","2","2","Protected","Protected",,,"2006-01-01T00:00:00.000",,"Greenway","Jamaica Bay",,"Main Alignment","NPS"
"MULTILINESTRING ((-73.93214331495858 40.82829368077881, -73.93163292871641 40.8283324149012, -73.93162906807261 40.82833305556602, -73.93162526651865 40.828333876364795, -73.93162153946963 40.82833487370473, -73.93161790115518 40.82833604399221, -73.9316143646195 40.82833738363308, -73.93161094409504 40.82833888633227, -73.93160765262778 40.82834054669457, -73.93160450207913 40.82834235842354, -73.93160150549711 40.82834431432303, -73.93159867237298 40.82834640719466, -73.93159601694022 40.82834862984295, -73.93159354632196 40.82835097236664, -73.93159127119603 40.828353426667654))","241492.0","3037.0","NA","Current","2","MACOMBS DAM BR","BRONX BOROUGH BOUNDARY","E 161 ST","OFF","L","L","2","0","Link","Link",,,"2002-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.93119598604675 40.82841807759464, -73.93100801338996 40.82845319176629))","241528.0","3037.0","NA","Current","2","MACOMBS DAM BR","BRONX BOROUGH BOUNDARY","E 161 ST","OFF","L","L","2","0","Link","Link",,,"2002-06-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9298279575857 40.78500914341205, -73.9298303026912 40.784987282462886, -73.92983243574152 40.784965409678016, -73.92983435910725 40.784943524158294, -73.92983607160005 40.78492162950511, -73.92983757322014 40.784899725718404, -73.92983886396576 40.78487781459921, -73.92983994265258 40.784855896146844, -73.92984081164816 40.78483397216373, -73.92984146858144 40.7848120444494, -73.92984191582111 40.784790113905856, -73.92984215099801 40.784768180531636, -73.92984217410942 40.78474624702823, -73.92984198752406 40.784724314297605, -73.9298415888727 40.78470238233829))","245184.0","3025.0","NA","Current","1","RFK BR","MN QN BOUNDARY","HELL GATE CR","OFF","L","L","2","0","Link","Link",,,"1936-07-11T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96727126729671 40.763480237585505, -73.9656695988094 40.762804555298516))","36279.0","4376.0",,"Current","1","E 61 ST","1 AV","5 AV","ON","I","I","L","1",,"Protected",,,"1900-01-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.81975487404284 40.60441645466297, -73.81985915089989 40.60371707324187))","157029.0","6038.0","1820","Current","4","CROSS BAY BLVD","W 22 RD","E 6 RD","ON","II","II","L","1",,"Conventional",,,"1997-05-01T00:00:00.000",,"Greenway","Jamaica Bay",,"Main Alignment","NYCDOT"
"MULTILINESTRING ((-74.01786986612973 40.63393364253648, -74.01795101785748 40.63372994056859))","161341.0","951.0","NA","Current","3","6 AVENUE","67 ST","FT HAMILTON PKWY","ON","III","III","2","2","Shared","Shared",,,"2015-06-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.01955007184752 40.629855088131606, -74.01966043346746 40.62957688081279))","17299.0","951.0","NA","Current","3","6 AVENUE","67 ST","FT HAMILTON PKWY","ON","III","III","2","2","Shared","Shared",,,"2015-06-29T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.94444477317327 40.57776187849046, -73.94363106167265 40.57785010632383))","196697.0","1338.0","NA","Current","3","ORIENTAL BLVD","OCEAN AV","JEFFREY ST","ON","II","II","R","1","Curbside Buffered",,,,"2003-05-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Coney Island","NYCDOT"
"MULTILINESTRING ((-73.96286875073739 40.760824179621444, -73.9626992070114 40.76105628394682))","188852.0","4378.0",,"Current","1","ED KOCH QUEENSBORO BR","E 60 ST","E 61 ST","ON","I","I","2","2","Protected","Protected",,,"1900-01-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.80063516522614 40.58719651035213, -73.80071522690393 40.58771436505872))","234201.0","2431.0","NA","Current","4","BEACH 73 ST","SHORE FRONT PKWY","ROCKAWAY BEACH BLVD","ON","II","II","R","1","Conventional",,,,"2016-10-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.9626992070114 40.76105628394682, -73.96265330893355 40.761124714630355))","329815.0","4378.0",,"Current","1","ED KOCH QUEENSBORO BR","E 60 ST","E 61 ST","ON","I","I","2","2","Protected","Protected",,,"1900-01-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.96243962673145 40.76144329951073, -73.96265330893355 40.761124714630355))","329817.0","4378.0",,"Current","1","ED KOCH QUEENSBORO BR","E 60 ST","E 61 ST","ON","I","I","2","2","Protected","Protected",,,"1900-01-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.90434224819542 40.85180423858763, -73.9039310545388 40.85230944115155))","350197.0","759.0","NA","Retired","2","GRAND CONCOURSE","E 161 ST","VAN CORTLANDT AVE E","ON","II","II","L","1",,"Conventional",,,"2009-05-01T00:00:00.000","2023-06-20T00:00:00.000",,,,,
"MULTILINESTRING ((-74.06173882920629 40.596411230427684, -74.06174632340506 40.59632638814691, -74.0617761340961 40.59624184004815, -74.06182782881365 40.59616269231116, -74.06189835202989 40.596093584244954, -74.06198263874911 40.596037886502536))","135432.0","7770.0","NA","Current","5","FR CAPODANNO BLVD","DRURY AV","LILY POND AV","ON","II","II","L","1",,"Curbside Buffered",,,"1980-07-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.94243253177054 40.816873463289596, -73.9421945059159 40.817181467223044))","133998.0","76.0","NA","Current","1","ADAM C POWELL BLVD","W 133 ST","W 150 ST","ON","III","III","R","1","Wide Parking Lane",,,,"2012-11-06T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.94311321917897 40.815934988913156, -73.94266153983209 40.816561654269115))","133999.0","76.0","NA","Current","1","ADAM C POWELL BLVD","W 133 ST","W 150 ST","ON","III","III","R","1","Wide Parking Lane",,,,"2012-11-06T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.09021603962327 40.570744989466036, -74.09099873860714 40.569898112499665))","151922.0","2037.0","NA","Current","5","FR CAPODANNO BLVD","LINCOLN AV","MIDLAND AV","ON","II","II","L","1",,"Curbside",,,"2011-12-09T00:00:00.000",,,,,,
"MULTILINESTRING ((-73.98156151536904 40.6840535484739, -73.98199244049778 40.68341814203498))","22919.0","918.0","NA","Current","3","3 AV","DEAN ST","15 ST","ON","II","II","R","1","Conventional",,,,"2005-12-01T00:00:00.000",,,,,,
"MULTILINESTRING ((-74.0086280170476 40.67266439212447, -74.00898332118193 40.67196815773072))","21623.0","1090.0","NA","Current","3","COLUMBIA ST","BAY ST","COLUMBIA ST ESPLANADE","ON","II","II","2","2","Conventional","Conventional",,,"2010-07-01T00:00:00.000",,"Greenway","Brooklyn Waterfront",,"Main Alignment","NYCDOT"
