"the_geom","boro","unitid","point_x","point_y","cb","latitude","longitude"
"POINT (-73.79456804377382 40.77221777714884)","4","H425919a","1041150.586","220683.273","407","40.7722168","-73.79457092"
"POINT (-73.91289250895464 40.64434661766513)","3","H325449","1008423.396","174041.245","318","40.64434814","-73.9128952"
"POINT (-73.95303997851815 40.72505714515936)","3","H307276","997266.219","203437.906","301","40.72505569","-73.95304108"
"POINT (-73.99463256503688 40.69398892775767)","3","H301843","985738.421","192115.373","302","40.6939888","-73.99462891"
"POINT (-73.93569187481359 40.73528872722269)","4","H439410","1002071.97","207168.6435","402","40.73529053","-73.93569183"
"POINT (-73.91147293739287 40.63402697951728)","3","H328476","1008821.144","170281.918","318","40.63402557","-73.91147614"
"POINT (-73.94400116043501 40.6773924260893)","3","H315750","999782.669","186073.704","308","40.67739105","-73.94400024"
"POINT (-74.14396635619805 40.56425342130275)","5","H509011","944249.62625","144882.07825","503","40.56425476","-74.14396667"
"POINT (-73.72485402779134 40.75377740880686)","4","H417730","1060481.036","214017.841","411","40.75377655","-73.72485352"
"POINT (-73.72888277862388 40.695674559216215)","4","H403465","1059430.365","192845.796","413","40.6956749","-73.72888184"
"POINT (-73.88960919846667 40.847310811465405)","2","H207311","1014791.609","247994.859","206","40.84730911","-73.88961029"
"POINT (-74.18586824259428 40.53959262832965)","5","H504883","932588.33625","135919.4975","503","40.53959274","-74.18586731"
"POINT (-73.85406437094642 40.7214794112615)","4","H430412","1024702.096","202164.6345","406","40.72147751","-73.85406494"
"POINT (-74.19747394232706 40.543864856657954)","5","H502431","929366.072","137483.026","503","40.5438652","-74.19747162"
"POINT (-73.98914034871231 40.661898802480124)","3","H304743","987262.894","180424.15925","307","40.66189957","-73.98914337"
"POINT (-73.80028321892448 40.815047939107124)","2","H214891","1039532.021","236284.082","210","40.81504822","-73.80028534"
"POINT (-74.13743029670428 40.57589464135472)","5","H509317","946072.292","149120.339","502","40.5758934","-74.13742828"
"POINT (-73.73277569633196 40.70894278203164)","4","H401511","1058336.122","197676.466","413","40.70894241","-73.73277283"
"POINT (-73.92463200843837 40.75851086027111)","4","H438921","1005129.75525","215631.6515","401","40.75851059","-73.92462921"
"POINT (-73.84008871303975 40.776574333505046)","4","H431607","1028539.38","222244.217","407","40.77657318","-73.84008789"
"POINT (-73.82148269888899 40.71320814133872)","4","H424337","1033739.584","199167.89","408","40.71320724","-73.8214798"
"POINT (-73.73926695994402 40.68735222969732)","4","H409716","1056559.882","189804.999","413","40.68735123","-73.73926544"
"POINT (-73.94337853660109 40.73391184024882)","3","H307787","999942.059","206665.53","301","40.73391342","-73.94338226"
"POINT (-73.8840323095837 40.66646209212808)","3","H329635","1016421.784","182107.803","305","40.66646194","-73.8840332"
"POINT (-74.01414982424036 40.6438235906286)","3","H303778","980323.219","173838.99","307","40.64382172","-74.01415253"
"POINT (-73.70870173506339 40.728170630471624)","4","H409350","1064987.145","204702.99925","413","40.7281723","-73.70870209"
"POINT (-74.02245027878601 40.62207451461303)","3","H302810","978017.692","165915.699","310","40.62207413","-74.02245331"
"POINT (-73.95717909181424 40.71652117731797)","3","H307661","996120.474","200327.403","301","40.71652222","-73.95717621"
"POINT (-73.96391011720085 40.602441816073515)","3","H318926","994271.676","158764.261","315","40.6024437","-73.96391296"
"POINT (-74.1614457269805 40.595376852382884)","5","H503387","939413.969","156229.567","502","40.59537685","-74.16144572"
"POINT (-73.91489830091666 40.801547024084314)","2","H205759","1007811.123","231313.645","201","40.801548","-73.91490173"
"POINT (-73.80503220421846 40.76283516294326)","4","H426351","1038259.834","217258.26","407","40.76283646","-73.80503082"
"POINT (-73.74251270694663 40.688333422508244)","4","H404344","1055658.681","190159.812","413","40.6883316","-73.74251556"
"POINT (-73.92348147443283 40.64084981362962)","3","H324778","1005485.942","172764.52","317","40.64085007","-73.9234848"
"POINT (-73.95339708646 40.66789853208399)","3","H315300","997178.316","182613.282","309","40.66790009","-73.95339966"
