"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","descriptor_2","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","council_district","police_precinct","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"45278137","2019-12-31T23:59:11.000","2020-01-01T03:07:18.000","NYPD","New York City Police Department","Noise - Commercial","Banging/Pounding",,"Club/Bar/Restaurant","11229","3939 EMMONS AVENUE","EMMONS AVENUE","PLUMB    3 STREET","BELT PARKWAY EXIT    9 WESTBOUND","PLUMB    3 STREET","BELT PARKWAY EXIT    9 WESTBOUND",,"BROOKLYN","EMMONS AVENUE",,"Closed",,"Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.","2020-01-01T03:07:32.000","15 BROOKLYN","48","Precinct 61","3088440010","BROOKLYN","1004321","152444","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.58507695307629","-73.92773945669528","POINT (-73.927739456695 40.585076953076)"
"45281589","2019-12-31T23:58:54.000","2020-01-01T05:37:03.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10025","865 COLUMBUS AVENUE","COLUMBUS AVENUE","WEST  100 STREET","WEST  103 STREET","WEST  100 STREET","WEST  103 STREET",,"NEW YORK","COLUMBUS AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T05:37:11.000","07 MANHATTAN","07","Precinct 24","1018360001","MANHATTAN","994065","229622","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.79692992181987","-73.96455113216999","POINT (-73.96455113217 40.79692992182)"
"45283574","2019-12-31T23:58:03.000","2020-01-01T01:26:50.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10040","558 WEST  192 STREET","WEST  192 STREET","AUDUBON AVENUE","ST NICHOLAS AVENUE","AUDUBON AVENUE","ST NICHOLAS AVENUE",,"NEW YORK","WEST  192 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T01:26:51.000","12 MANHATTAN","10","Precinct 34",,"MANHATTAN","1004136","251120","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.855918860412444","-73.9281139621785","POINT (-73.928113962178 40.855918860412)"
"45278249","2019-12-31T23:57:19.000","2020-01-01T09:33:55.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11372","35-18 91 STREET","91 STREET","35 AVENUE","37 AVENUE","35 AVENUE","37 AVENUE",,"JACKSON HEIGHTS","91 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T09:33:59.000","03 QUEENS","25","Precinct 115","4014640015","QUEENS","1018532","213397","ONLINE","Unspecified","QUEENS",,,,,,,,"40.752335548300096","-73.87626643726503","POINT (-73.876266437265 40.7523355483)"
"45282332","2019-12-31T23:56:52.000","2020-01-01T03:06:36.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","11226","2310 CORTELYOU ROAD","CORTELYOU ROAD","EAST   23 STREET","BEDFORD AVENUE","EAST   23 STREET","BEDFORD AVENUE",,"BROOKLYN","CORTELYOU ROAD",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T03:06:39.000","14 BROOKLYN","40","Precinct 70","3051670072","BROOKLYN","996621","173959","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.6441452622389","-73.95542192797127","POINT (-73.955421927971 40.644145262239)"
"45281053","2019-12-31T23:56:34.000","2020-01-01T02:47:53.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"Street/Sidewalk","10128","EAST   89 STREET","EAST   89 STREET","2 AVENUE","1 AVENUE","2 AVENUE","1 AVENUE",,,,,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T02:47:55.000","Unspecified MANHATTAN",,"Precinct 19",,"MANHATTAN",,,"PHONE","Unspecified","MANHATTAN",,,,,,,,,,
"45281555","2019-12-31T23:56:34.000","2020-01-01T08:22:26.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11375","72-72 112 STREET","112 STREET","72 DRIVE","73 AVENUE","72 DRIVE","73 AVENUE",,"FOREST HILLS","112 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T08:22:27.000","06 QUEENS","29","Precinct 112","4022380019","QUEENS","1029210","201634","PHONE","Unspecified","QUEENS",,,,,,,,"40.72000122760082","-73.83780516418167","POINT (-73.837805164182 40.720001227601)"
"45282921","2019-12-31T23:56:32.000","2020-01-01T02:18:56.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11433","168-70 93 AVENUE","93 AVENUE","168 PLACE","170 STREET","168 PLACE","170 STREET",,"JAMAICA","93 AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T02:18:59.000","12 QUEENS","27","Precinct 103","4102170035","QUEENS","1042375","196254","MOBILE","Unspecified","QUEENS",,,,,,,,"40.705157748543606","-73.79035855780899","POINT (-73.790358557809 40.705157748544)"
"45283114","2019-12-31T23:56:28.000","2020-01-01T05:58:35.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11373","42-21 KETCHAM STREET","KETCHAM STREET","BAXTER AVENUE","PETTIT AVENUE","BAXTER AVENUE","PETTIT AVENUE",,"ELMHURST","KETCHAM STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T05:58:40.000","04 QUEENS","25","Precinct 110","4015070028","QUEENS","1016502","210694","PHONE","Unspecified","QUEENS",,,,,,,,"40.74492413777687","-73.88360624316624","POINT (-73.883606243166 40.744924137777)"
"45281055","2019-12-31T23:55:56.000","2020-01-01T11:01:07.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking",,"Street/Sidewalk","11435","85-85 148 STREET","148 STREET","85 DRIVE","86 AVENUE","85 DRIVE","86 AVENUE",,"JAMAICA","148 STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T11:01:08.000","08 QUEENS","24","Precinct 107","4097260059","QUEENS","1036916","197511","MOBILE","Unspecified","QUEENS",,,,,,,,"40.708642084220266","-73.81003782483123","POINT (-73.810037824831 40.70864208422)"
