"tree_id","block_id","created_at","tree_dbh","stump_diam","curb_loc","status","health","spc_latin","spc_common","steward","guards","sidewalk","user_type","problems","root_stone","root_grate","root_other","trunk_wire","trnk_light","trnk_other","brch_light","brch_shoe","brch_other","address","zipcode","zip_city","cb_num","borocode","boroname","cncldist","st_assem","st_senate","nta","nta_name","boro_ct","state","latitude","longitude","x_sp","y_sp","council_district","census_tract","bin","bbl"
"180683","348711","2015-08-27T00:00:00.000","3","0","OnCurb","Alive","Fair","Acer rubrum","red maple","None","None","NoDamage","TreesCount Staff","None","No","No","No","No","No","No","No","No","No","108-005 70 AVENUE","11375","Forest Hills","406","4","Queens","29","28","16","QN17","Forest Hills","4073900","New York","40.72309177","-73.84421522","1027431.148","202756.7687","29","739","4052307","4022210001"
"200540","315986","2015-09-03T00:00:00.000","21","0","OnCurb","Alive","Fair","Quercus palustris","pin oak","None","None","Damage","TreesCount Staff","Stones","Yes","No","No","No","No","No","No","No","No","147-074 7 AVENUE","11357","Whitestone","407","4","Queens","19","27","11","QN49","Whitestone","4097300","New York","40.79411067","-73.81867946","1034455.701","228644.8374","19","973","4101931","4044750045"
"204026","218365","2015-09-05T00:00:00.000","3","0","OnCurb","Alive","Good","Gleditsia triacanthos var. inermis","honeylocust","1or2","None","Damage","Volunteer","None","No","No","No","No","No","No","No","No","No","390 MORGAN AVENUE","11211","Brooklyn","301","3","Brooklyn","34","50","18","BK90","East Williamsburg","3044900","New York","40.71758074","-73.9366077","1001822.831","200716.8913","34","449","3338310","3028870001"
"204337","217969","2015-09-05T00:00:00.000","10","0","OnCurb","Alive","Good","Gleditsia triacanthos var. inermis","honeylocust","None","None","Damage","Volunteer","Stones","Yes","No","No","No","No","No","No","No","No","1027 GRAND STREET","11211","Brooklyn","301","3","Brooklyn","34","53","18","BK90","East Williamsburg","3044900","New York","40.71353749","-73.93445616","1002420.358","199244.2531","34","449","3338342","3029250001"
"189565","223043","2015-08-30T00:00:00.000","21","0","OnCurb","Alive","Good","Tilia americana","American linden","None","None","Damage","Volunteer","Stones","Yes","No","No","No","No","No","No","No","No","603 6 STREET","11215","Brooklyn","306","3","Brooklyn","39","44","21","BK37","Park Slope-Gowanus","3016500","New York","40.66677776","-73.97597938","990913.775","182202.426","39","165","3025654","3010850052"
"190422","106099","2015-08-30T00:00:00.000","11","0","OnCurb","Alive","Good","Gleditsia triacanthos var. inermis","honeylocust","1or2","Helpful","NoDamage","Volunteer","None","No","No","No","No","No","No","No","No","No","8 COLUMBUS AVENUE","10023","New York","107","1","Manhattan","3","67","27","MN14","Lincoln Square","1014500","New York","40.77004563","-73.98494997","988418.6997","219825.5227","3","145","1076229","1011310031"
"190426","106099","2015-08-30T00:00:00.000","11","0","OnCurb","Alive","Good","Gleditsia triacanthos var. inermis","honeylocust","1or2","Helpful","NoDamage","Volunteer","None","No","No","No","No","No","No","No","No","No","120 WEST 60 STREET","10023","New York","107","1","Manhattan","3","67","27","MN14","Lincoln Square","1014500","New York","40.77020969","-73.98533807","988311.19","219885.2785","3","145","1076229","1011310031"
"208649","103940","2015-09-07T00:00:00.000","9","0","OnCurb","Alive","Good","Tilia americana","American linden","None","None","NoDamage","Volunteer","MetalGrates","No","Yes","No","No","No","No","No","No","No","311 WEST 50 STREET","10019","New York","104","1","Manhattan","3","75","27","MN15","Clinton","1012700","New York","40.76272385","-73.98729652","987769.1163","217157.8561","3","133","1086093","1010410019"
"209610","407443","2015-09-08T00:00:00.000","6","0","OnCurb","Alive","Good","Gleditsia triacanthos var. inermis","honeylocust","None","None","NoDamage","TreesCount Staff","None","No","No","No","No","No","No","No","No","No","65 JEROME AVENUE","10305","Staten Island","502","5","Staten Island","50","64","23","SI14","Grasmere-Arrochar-Ft. Wadsworth","5006400","New York","40.59657931","-74.07625483","963073.1998","156635.5542",,,,
"192755","207508","2015-08-31T00:00:00.000","21","0","OffsetFromCurb","Alive","Fair","Platanus x acerifolia","London planetree","None","None","NoDamage","TreesCount Staff","None","No","No","No","No","No","No","No","No","No","638 AVENUE Z","11223","Brooklyn","313","3","Brooklyn","47","45","23","BK26","Gravesend","3037402","New York","40.58635725","-73.96974394","992653.7253","152903.6306","47","37402","3320727","3072350001"
